id;marcador_1;marcador_2;estado;multiplicador;fecha;hora_inicio;hora_fin
1;76906;99394;Director Tugrik;53142;2022-07-14;2022-07-14T05:19:00;2022-07-14T23:10:16
2;16418;44816;quantifying Moda Seg;31142;2022-07-15;2022-07-14T23:07:24;2022-07-14T20:21:49
3;46404;72269;Parque Directo B2B;40329;2022-07-14;2022-07-14T07:26:29;2022-07-14T06:20:23
4;38564;47534;de;37904;2022-07-15;2022-07-15T01:04:30;2022-07-15T00:39:54
5;59884;33333;Fantástico;83209;2022-07-14;2022-07-14T05:50:21;2022-07-14T11:08:11
6;65056;86201;Poblado bandwidth co;95884;2022-07-14;2022-07-14T15:38:22;2022-07-14T21:25:00
7;18429;1758;Canarias Mesa;80726;2022-07-14;2022-07-14T20:50:41;2022-07-14T18:55:49
8;2921;84539;Cantabria wireless d;73345;2022-07-15;2022-07-14T07:29:09;2022-07-14T15:51:21
9;30608;45486;Account;49551;2022-07-14;2022-07-14T10:58:16;2022-07-14T22:19:43
10;62200;18593;Caimán Cataluña;73487;2022-07-14;2022-07-14T18:43:19;2022-07-14T19:31:46
