id;descripcion;tipo;fecha;ha_ganado;ganancia;fue_leida
1;Enfocado modelo Datos;supply-chains;2022-07-14;true;58785;true
2;Cambridgeshire Verde;Buckinghamshire Sheq;2022-07-14;false;42183;false
3;Ladrillo;Directo Loan;2022-07-15;false;67674;false
4;Consultor Alemania;cross-platform gener;2022-07-14;true;67946;true
5;Amarillo Mejorado;Azul;2022-07-14;false;67513;false
6;Parafarmacia Lado;Pollo capacitor Barr;2022-07-14;false;3679;true
7;Bicicleta;Artesanal Jefe;2022-07-14;false;84294;true
8;monitor Calidad;Comoro synthesize pa;2022-07-14;false;35579;false
9;Gorro;Canarias Bélgica;2022-07-15;false;4018;false
10;haptic País;Amarillo Baleares ov;2022-07-14;true;8828;false
