id;opcion;path;icono;nombre
1;Personal;parsing;Madera Granito;matrix
2;innovate;Tugrik panel Galicia;Rambla iterate Avon;Seguro naviga
3;Granito;fallos Marroquinería Directo;Avon copy;Checking Ferr
4;Tanzania matrix Loan;Fantástico;matrix;invoice Funci
5;1080p TCP system;Administrador one-to-one Técnico;driver;Analista
6;Bicicleta;Berkshire compress Música;Tenge;Dinar Pound L
7;GB;coherente Nicaragua Gorro;virtual cross-platform;transmit Inve
8;Parafarmacia Cordoba;payment Metal Guapo;Guapo;channels
9;Nicaragua orientado ;Plástico Jamaica;Hecho;Murcia
10;circuit Total Invest;leverage Principado;syndicate Plástico;Account Funci
