id;nombre;descripcion;foto;costo;estado;stock;num_canjes
1;Pelota Cantabria;Identidad;Supervisor Buckinghamshire Bélgica;20825;Danish impactful Grá;50025;43190
2;Fantástico Pizza;payment Borders Pescado;Sabroso;1267;Marca International;95995;27904
3;invoice;compuesto;Account;22388;Hong Zimbabwe;43865;84488
4;La Aragón withdrawal;Juguetería;Papelería;68170;Buckinghamshire prog;76668;736
5;unleash streamline;lateral Acero Tanzanian;Azerbayán;47243;extend withdrawal De;11684;19555
6;León visualize firewall;matrix connect Cantabria;Plástico Blanco payment;70067;Chad;24164;471
7;Algodón deposit haptic;interfaces;Pantalones mediante Navarra;57603;Account Salud copyin;8193;5024
8;payment;Account;deposit dot-com copy;10596;Nauru;11432;88563
9;Amarillo;value-added;Loan Mascotas;97371;servidor Gerente;13383;19285
10;La Money;empower Kwanza;collaborative withdrawal;69768;SCSI override naviga;934;57349
