id;nombre;descripcion;costo;foto;codigo_fijo;num_compras
1;actitud;Dinánmico;81998;Blanco;Dinánmico Inteligente Borders;85865
2;Checking;open-source Práctico deposit;33378;Buckinghamshire a Gorro;Zapatos Datos;32131
3;Juguetería;Gabón Guadalupe;15613;portals Sum;Ladrillo;67371
4;didactica Costa;Innovador objetos invoice;6887;scalable innovative;port Inversor metódica;36079
5;Implementación connect;Queso;7688;quantifying state Sabroso;circuit Cine;4338
6;world-class Gorro optimize;capacitor XSS Heredado;56836;Account Fantástico;Coche Camiseta;38494
7;utilize;Toallas de focus;37465;Checking hard Finlandia;European Gerente;83649
8;Cambridgeshire local;Grupo;23094;Corporativo concepto;expedite TCP Sorprendente;47560
9;Cordoba;1080p withdrawal deposit;60154;Implementado multiestado Dollar;Algodón navigate paralelismo;4666
10;invoice;e-enable;54286;bleeding-edge;Contabilidad;17146
