id;nombre;descripcion;costo_participacion;primer_premio;segundo_premio;tercer_premio;estado
1;Sabroso demanda;Informática;31917;50695;62304;80671;Buckinghamshire
2;reboot grow orchestrate;Pescado;60218;2333;8809;96065;protocol
3;analista;SCSI connect synthesizing;69833;46796;16765;33279;Pasaje parse AGP
4;FTP Refinado;synthesizing vertical;95578;22559;81583;64037;hacking
5;Pelota Masía;interactive enfoque;46259;7892;13598;95124;Infraestructura
6;mano;Desarrollador Borders;11250;37730;99372;63671;Open-source calculat
7;Integrado Bloque;hack Integración;35968;92758;40957;25960;Plástico Rojo Guapo
8;integrate;paralelismo Ergonómico;10857;28788;37265;11227;Lado program Arrabal
9;deposit Som;de technologies data-warehouse;73352;86294;63065;44056;Loan redundant
10;Ingeniero Adelante Savings;Plástico Account;28482;6031;4158;91001;back-end RAM EXE
