id;fecha;tipo;descripcion;monto
1;2022-07-14;JSON Subida Director;deposit Verde;78103
2;2022-07-15;navigate Berkshire B;seize Madera parse;54025
3;2022-07-15;Canada;card transmitter didactica;24651
4;2022-07-14;Rial;instrucciones Account;74619
5;2022-07-15;Inteligente Contabil;Global Berkshire Rojo;8447
6;2022-07-15;deposit Pescado Savi;Calidad Borders;86468
7;2022-07-14;Programa unleash Pro;mindshare;92140
8;2022-07-15;THX transition Divis;neutral TCP Camiseta;19319
9;2022-07-14;override;software;57428
10;2022-07-15;flexibilidad Account;frictionless Prolongación;55674
